abil,educ,motheduc,fatheduc
4.4705076,15,14,16
4.0903935,15,17,16
4.2823515,17,16,20
4.9915376,20,16,20
2.8187022,20,16,20
2.7003005,17,12,19
3.2059855,18,16,16
2.3717737,15,16,16
5.2337995,19,15,7
3.1610944,12,12,12
-.017231062,11,12,11
2.6091602,12,12,12
3.5947042,12,12,12
-.26801288,8,10,8
1.3784325,12,10,8
.97678393,12,12,11
2.3257179,12,12,10
3.003588,12,12,12
2.2888758,12,12,12
2.135983,12,12,16
3.016752,14,12,16
3.5475178,12,12,16
2.7620366,17,15,16
.12176082,10,9,12
1.2003738,12,12,8
2.4187171,12,12,10
1.6622833,12,12,8
1.7163122,12,12,8
4.8497095,12,12,20
3.6411755,13,14,16
3.7941515,15,12,11
-2.3372371,8,11,10
3.8310325,15,12,14
3.6947742,16,12,12
3.296454,17,12,12
1.8931828,9,16,11
3.0233796,11,5,8
-1.0452154,13,5,12
1.1214994,10,12,16
-1.3976309,12,12,12
-1.3005143,12,13,14
.51017475,14,13,14
.40079328,18,12,18
2.3950241,14,12,18
1.9898046,12,12,11
2.6884739,17,12,12
5.1775608,14,12,12
3.4961758,12,12,12
2.7830484,15,12,12
3.4989707,12,12,12
2.9156251,12,12,19
2.1412208,15,12,8
2.0411212,12,12,11
2.0405018,12,12,12
-.014910734,12,12,12
.94151598,12,12,12
5.0765781,15,12,12
2.750761,15,12,12
2.7540925,16,16,17
4.212347,12,13,12
-1.3589923,11,6,6
-2.5489583,10,6,4
.52151227,12,12,8
-.51220655,12,12,12
1.7704234,13,16,13
1.1994191,15,16,13
4.202961,15,12,16
3.9067192,15,12,16
3.4070492,15,12,12
1.1706886,12,12,12
-.45424378,12,12,12
1.6276804,15,12,10
.18695821,12,12,10
-.90072834,12,12,10
1.858021,12,12,12
.78167623,12,12,12
-2.6019087,9,5,12
1.2996614,13,12,12
2.453815,12,10,10
.50282949,12,12,12
.96455139,12,9,10
2.8044193,12,12,12
3.8552175,12,14,12
.9414916,12,9,12
-.36877,12,12,12
-1.2097509,16,12,12
.075119905,13,12,12
1.431937,13,12,10
4.4105086,15,14,16
4.4413366,13,12,12
2.6732223,12,9,9
3.6191802,12,11,9
3.9491837,12,9,13
-3.1240361,12,12,10
-1.8434198,12,10,8
-1.3197144,12,10,8
3.3093414,12,12,12
.30771071,12,12,12
-2.0858212,9,9,9
1.9353966,12,12,12
1.7435077,12,8,8
3.2485607,12,12,13
2.653928,15,12,12
3.9311147,17,12,14
4.3829675,15,12,12
3.3914785,14,12,16
3.3782127,18,12,16
2.4408486,12,12,12
4.7643681,13,12,11
2.9089007,12,12,12
4.0354843,11,12,12
1.3552805,12,12,13
1.1680162,12,12,12
.14417057,12,12,12
3.0649135,12,12,8
2.3747592,12,11,12
1.3991102,12,9,9
4.2772551,12,13,12
4.4283996,10,12,9
2.100579,15,11,15
2.2474339,12,12,10
-2.7676299,12,12,9
-4.5724106,12,12,9
4.4821825,15,12,11
2.0428674,17,16,18
-1.4660512,10,12,11
-2.129632,9,12,11
-.27210906,12,9,12
2.2946093,15,12,7
-3.6557798,11,8,5
5.3591032,18,14,16
5.3573408,20,20,20
3.0452332,15,16,16
1.947523,16,16,16
2.6033609,15,12,16
2.7303693,15,16,14
1.9481723,15,16,18
2.1071653,15,16,16
3.6249485,17,20,20
.93171847,9,14,14
1.3090895,11,12,10
1.2691267,13,12,12
3.3382289,15,12,12
3.5960467,12,12,12
3.7234852,15,16,18
2.2771406,12,5,5
3.0853646,12,11,9
2.3670583,10,11,14
4.1673398,12,11,12
5.5310364,12,12,19
-.27333924,8,12,10
5.2116461,15,12,11
3.0624495,15,12,12
2.6622694,12,12,12
3.0077307,12,12,12
1.4927043,9,12,12
5.2910976,17,12,18
4.2224464,12,12,10
5.0069985,11,12,8
2.416193,12,11,12
2.3470168,11,12,10
1.606445,12,12,10
4.0358338,16,15,14
3.3823359,12,15,17
.18491165,12,12,12
3.8006563,17,18,18
2.9961948,15,16,18
5.2777524,20,16,18
4.9210753,15,12,12
4.0329852,15,12,18
4.115037,15,16,19
.99523544,12,9,10
1.714376,11,11,12
-.0085334573,12,12,12
2.30022,12,12,12
.6088053,9,12,12
4.2545271,13,15,13
2.1082728,12,12,10
1.7704967,12,12,12
3.3934627,18,14,19
-.017800931,12,12,12
4.5244036,15,12,12
5.1470637,17,12,13
4.5625482,15,12,13
4.736867,18,14,18
5.3532038,19,12,14
3.4247298,17,12,12
4.4178476,17,12,16
3.4184833,14,10,12
4.659421,19,18,18
4.8320627,15,18,15
4.2279263,16,16,15
-.44588447,14,14,20
3.06812,15,13,18
3.2244275,14,13,18
2.5053384,13,13,12
5.1226497,15,12,17
4.4879389,15,12,17
2.7832832,11,14,16
4.187583,16,17,14
5.0600882,15,12,16
3.8157563,15,12,12
4.3480515,19,14,16
4.3820186,16,15,16
3.7668757,15,12,12
5.5343637,15,12,12
2.6610434,17,16,16
-1.7873602,11,12,16
2.4939036,12,13,20
1.127919,15,16,16
2.1618998,12,12,16
3.8998277,16,16,18
.57368731,12,12,11
2.9054403,14,12,10
4.8517642,17,14,11
3.9415462,15,16,17
1.377228,12,12,8
.30957991,12,12,10
.39537862,10,10,12
2.3741729,12,12,12
2.5395305,15,16,12
-.1146868,12,16,16
-.10180156,9,11,4
-3.4767015,12,9,12
3.6969311,12,12,12
.10837059,12,12,12
2.636867,12,14,14
.49486354,12,12,14
-1.6792742,9,9,10
-3.0841382,8,10,12
2.4483876,11,7,7
2.5031495,13,14,13
4.1876273,17,13,17
3.9555914,15,12,14
4.0177217,16,14,16
4.3602319,17,12,9
1.4136543,9,12,12
3.6765122,12,12,12
4.0904765,12,12,12
2.028693,12,10,12
-2.4867547,8,10,12
3.3157969,16,12,12
1.045063,15,12,12
2.5550256,13,15,14
.38633153,12,12,8
1.3100525,11,10,8
-3.0379229,12,12,7
2.3329506,12,11,8
-1.7109746,9,8,6
3.6698506,13,12,12
1.4385781,12,12,16
2.4442019,13,6,6
-3.1624606,12,6,6
-3.5018137,9,11,12
1.0726887,9,11,10
-2.6746283,11,12,13
-.01314869,10,13,12
-.1021442,12,14,14
.42953962,12,12,12
1.3022391,15,16,14
1.395311,12,12,12
3.910789,15,12,13
3.3745482,20,19,6
.3987138,12,12,15
-1.027223,10,12,7
1.8224163,12,10,16
4.1920242,13,14,12
.34783974,12,12,12
2.6074524,12,14,12
.98508281,12,12,12
3.1357932,13,16,14
1.6404346,13,9,11
2.310802,14,15,15
1.8960859,8,12,10
3.432107,13,12,15
-.52872658,6,10,12
-1.5211561,8,6,5
2.4671376,12,12,12
1.2043105,14,9,12
3.3887384,15,12,15
1.1408564,12,12,18
4.2575655,15,12,12
2.2048745,15,12,12
4.3844247,14,12,16
4.0810575,12,12,12
2.4270639,10,12,12
-2.6911066,14,12,11
2.6457524,15,14,11
.99091321,11,12,10
-.83270276,11,11,11
-5.468668,12,12,10
1.9229014,12,16,16
2.7422004,11,13,12
-2.8087702,8,14,12
2.8782144,12,17,12
3.5817409,15,12,12
3.3212585,15,10,8
4.0735531,12,8,7
-1.9298412,12,12,15
2.8507061,13,12,20
4.8710141,17,16,12
2.7992551,12,16,17
2.3790455,12,12,12
-.15497117,11,12,12
3.3373706,16,16,16
1.7118545,15,12,12
4.1939168,15,16,0
2.3128636,11,13,9
1.7686241,12,16,16
.012513446,12,14,12
-2.460068,14,12,16
-1.3763882,10,16,14
1.1773221,12,12,12
2.7866242,13,12,16
3.1600871,19,12,12
-.66968971,10,9,14
1.5812737,12,9,13
-.90467626,13,7,13
.51652628,7,7,13
-3.9782248,10,12,16
1.1968117,16,16,18
4.4866633,13,13,20
3.4458153,13,15,16
3.4649143,14,16,12
1.5810616,15,12,12
1.6332895,12,12,12
1.5509378,12,15,16
3.7161565,16,15,18
4.8885751,14,10,8
-.85318786,16,12,12
1.2728744,11,12,12
.65044481,12,12,12
3.7513289,15,12,8
3.9918644,15,12,7
2.8287776,14,12,12
1.8212229,12,10,12
3.8360934,12,12,12
3.0770419,12,12,11
.47119266,13,12,13
-.24405873,12,12,12
2.1242447,12,9,11
3.835923,12,12,12
2.9610062,9,8,13
3.9283931,12,13,8
1.5092267,12,13,12
-.99574018,12,12,12
4.300509,15,15,20
2.1571176,15,14,16
4.742486,19,12,10
3.7390859,11,12,12
-4.3549862,9,10,10
2.4158971,12,8,8
-.27943513,12,12,10
1.3158386,12,13,15
.77705938,12,12,12
.51447856,14,12,16
1.1455895,12,11,10
4.4899421,15,12,16
2.8070762,13,16,20
1.9129472,16,8,8
2.2369044,15,12,12
-.94961965,14,12,16
-5.3448524,12,10,9
4.7406287,12,12,12
2.6926527,12,12,12
2.4853086,13,12,16
3.8183758,16,16,16
.37509283,15,12,16
2.6109185,15,14,12
2.9166319,14,13,14
2.8116395,12,12,16
3.9448102,13,10,15
1.8623352,13,11,16
3.7497029,12,12,14
4.1440544,15,12,12
-2.1549013,12,12,12
.4647643,12,12,11
1.6759809,12,12,9
3.7988546,20,10,10
1.1127765,12,12,12
1.4859048,13,10,10
-1.4640059,11,12,10
-.79917842,12,12,10
-1.6114594,9,10,12
1.3833059,12,12,12
-.81421936,12,8,8
-1.4088,10,10,10
2.6780396,12,11,8
1.7792925,12,12,12
.41922849,12,12,12
.75905287,11,12,12
2.1930788,12,12,12
4.4955559,16,12,12
2.3558049,12,12,10
.88000411,12,12,12
-1.9132102,7,9,9
-1.4162357,12,10,8
-3.3159044,10,6,4
-3.3049388,9,12,7
.21905468,12,12,12
1.5486678,12,12,12
-.7434423,12,12,12
3.8426001,15,12,12
3.1552219,13,12,8
1.6126119,12,12,8
4.0041742,12,8,11
4.1788673,15,8,8
2.0421257,12,12,12
2.8229311,12,12,8
3.5367334,14,13,17
4.40874,16,13,18
4.0727444,15,13,16
3.8209445,16,13,16
4.5997801,13,9,12
-.52175617,10,12,12
3.5754042,15,12,10
-1.4206933,12,12,10
3.5352392,13,12,12
3.4643383,12,12,12
4.3011417,12,12,12
-.36365011,12,12,12
2.5753314,14,12,13
3.558666,16,14,16
2.3310897,12,11,14
3.7584734,14,12,14
2.1262271,12,12,12
3.4124959,12,12,11
2.5185733,12,13,13
2.613466,14,12,16
2.6766467,15,12,16
4.0033207,15,12,12
3.7047038,15,12,14
4.4021726,15,12,14
3.9827979,15,12,13
1.8200974,12,12,7
-.82250822,11,12,8
.052556001,11,8,12
-.073386028,12,10,9
-1.6338711,12,10,12
-4.6869111,8,11,12
4.4124947,17,16,12
2.2406898,12,12,12
1.4589751,12,12,12
2.5452347,16,12,10
-3.5028977,8,7,8
2.3383811,15,14,14
1.2477586,12,13,13
-.48267126,10,12,9
3.1260312,12,12,12
-2.0204289,8,12,6
-1.0960317,8,8,8
-1.887539,10,12,11
-1.0347695,12,12,9
2.3491161,15,13,14
4.280972,16,16,20
2.8699386,15,19,20
5.3569422,19,16,16
-.011605625,12,12,12
4.5919676,19,16,19
4.5643921,13,16,17
4.5916977,15,19,20
5.0437326,16,19,20
3.0586383,13,12,14
1.0219225,12,18,14
5.5084939,15,14,16
1.879238,15,12,16
3.6419661,12,12,12
3.4194584,12,12,12
2.5617681,13,11,11
1.4059882,12,9,7
2.0285778,15,12,14
-3.4073763,6,10,8
2.5597022,16,12,12
-1.5506042,13,12,12
2.22961,12,12,12
1.6878362,12,16,16
-.7271058,12,12,11
1.1177906,12,16,16
1.5318249,10,10,8
2.8982527,11,12,10
1.9620333,11,12,12
.77469087,12,11,8
4.0474529,20,14,16
2.3828378,13,13,6
-2.9044008,10,11,12
.50082266,12,12,12
2.0067885,13,14,14
4.0008922,12,12,12
3.2594297,16,12,12
.70918947,12,12,12
1.2780311,14,16,14
.62357622,12,18,20
-1.3848382,12,8,10
.31426117,14,12,11
-1.2736167,12,12,13
-.57799715,9,8,8
-1.5271641,9,7,7
1.4221586,12,13,13
-1.6665155,12,12,14
-1.2393805,12,10,6
3.196058,12,12,11
.76410085,12,12,12
-2.2727728,10,12,9
.038625889,12,12,12
2.6911218,15,19,16
2.6928401,12,12,12
.92943472,12,12,14
2.9002557,16,13,16
3.5087278,15,12,15
-2.4981885,13,12,12
2.2682979,15,12,12
2.4222064,12,12,12
2.750242,10,11,12
3.9259605,15,10,12
1.078086,12,12,12
-3.6774662,12,11,9
2.5862839,12,9,9
2.8866076,14,12,8
3.2768605,12,12,12
-1.6032287,12,12,18
.19582017,12,12,12
1.6994067,15,12,12
3.9355319,12,15,14
3.4553258,12,15,14
4.4930844,17,12,12
3.0298204,15,8,8
4.2263417,15,14,16
-2.2266736,9,7,4
1.4521203,12,12,5
-1.0799598,12,12,12
4.7373157,15,12,4
4.0394998,12,12,6
-4.7293291,9,8,8
-1.8348359,10,7,7
2.4913597,12,8,8
-.33912906,12,12,6
.76007235,10,9,6
-3.5121226,9,6,11
1.1233361,12,11,8
3.2120657,12,12,12
-2.8366024,9,12,12
3.4635117,15,12,16
1.9923668,15,14,14
-5.6314631,9,9,10
-.82728088,12,11,7
-4.1062727,12,9,8
3.039799,11,11,12
2.4600484,13,12,12
4.0394664,16,16,17
3.1621754,12,12,12
2.0016797,15,12,12
2.5501258,15,12,14
4.9627247,19,12,11
2.4010861,12,15,18
2.168941,12,12,12
1.5796391,12,12,11
2.3599739,13,14,16
-.46862143,13,14,12
.63117957,11,9,6
1.1322333,12,10,8
4.5656133,13,14,13
4.0637136,12,12,6
2.5111883,13,12,10
2.374377,12,12,12
.50592715,12,12,12
.58438087,11,11,10
-3.0402877,9,0,0
1.6993098,12,10,12
-1.476158,12,16,16
1.8794793,16,14,16
.1515905,12,12,8
2.9423869,15,12,8
2.7969451,15,12,12
1.249611,15,14,18
.82333821,12,12,17
2.4460502,12,17,18
3.327208,12,12,12
1.8977937,12,12,13
3.7818387,12,12,11
.63962555,12,14,14
4.3780417,12,12,12
2.2682536,12,16,17
3.1617825,15,14,20
3.9877086,17,14,16
1.5490683,12,12,11
3.0124164,17,16,18
5.2130103,13,12,13
2.012532,15,12,12
1.1402076,11,9,1
-4.3370466,12,12,12
3.9334724,14,12,14
2.0714703,16,12,12
3.1241174,12,12,14
2.7128265,14,11,13
.90716565,12,11,11
-4.0511694,8,9,8
.14077488,16,12,12
3.7516365,20,16,18
1.9216458,12,12,9
3.506032,16,12,12
3.4352429,20,16,19
1.8059175,10,12,12
1.4724462,17,20,20
2.9445517,15,20,20
3.7150021,12,12,16
2.6306183,12,12,12
4.2698607,15,12,12
2.9511859,15,16,16
1.5301261,11,11,10
1.7579877,12,12,8
2.0215096,16,13,14
1.7266164,12,12,11
2.8031733,12,12,12
4.1645617,19,13,14
.89311475,16,14,16
-.63306069,8,6,10
1.2309276,11,8,9
